note,source,publication_stage,type,abbrev_source_title,language,issn,publisher,correspondence_address,author_keywords,abstract,affiliations,url,doi,pages,number,volume,journal,year,title,author,ENTRYTYPE,ID,keywords,pmid,coden,isbn,database,title_norm,da,oa,unique-id,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,cited-references,orcid-numbers,researcherid-numbers,author-email,web-of-science-categories,research-areas,keywords-plus,eissn,earlyaccessdate,affiliation,address,month,funding-text,funding-acknowledgement,article-number,esi-hot-paper,esi-highly-cited-paper,year_clean
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Electron. J. e-Learning,English,14794403,Academic Conferences and Publishing International Limited,"F. Festiyed; Department of Science Education, Universitas Negeri Padang, Indonesia; email: festiyed@fmipa.unp.ac.id",Artificial intelligence; Cognitive learning outcomes; IFTAR model; Physics education; Research-Based learning; Structured pedagogy,"Despite the growing interest in artificial intelligence (AI) for science education, little is known about its role within structured research-based learning (RBL) frameworks that balance technological assistance with developing independent research competencies. Existing studies often focus on AI as an isolated tool or a single-stage intervention, leaving a gap in understanding how AI can be systematically embedded across the research process without diminishing studentsâ€™ cognitive engagement. This study addresses that gap by implementing the newly developed IFTAR model, which organizes RBL into five sequential phasesâ€”Identification, Find Literature, Determine Methodology, Accommodate/Analyze/Interpret Data, and Report & Presentâ€”with AI selectively integrated into the literature search and data analysis stages. A quasi-experimental, non-equivalent control group PreTestâ€“PostTest design was conducted with ninety undergraduate physics education students assigned to one control and two experimental groups. Cognitive outcomes were measured using a validated instrument and analyzed through classical ANCOVA, rank-based ANCOVA, and robust ANCOVA to account for assumption violations. Across all analytical approaches, both experimental groups significantly outperformed the control group, with no significant difference between the experimental conditions. These findings demonstrate that phase-specific AI integration within a transparent and scaffolded RBL framework can enhance cognitive performance while preserving methodological autonomy, offering a replicable model for purposeful AI use in STEM higher education. Â© The Authors.","Universitas Negeri Padang, Department of Science Education, Padang, West Sumatra, Indonesia; Universitas Negeri Padang, Department of Physical Education, Padang, West Sumatra, Indonesia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028891616&doi=10.34190%2Fejel.24.1.4416&partnerID=40&md5=2d6fcc11cac3ff3e7892af3523c247dc,10.34190/ejel.24.1.4416,109 - 124,1,24,Electronic Journal of e-Learning,2026,From Assistance to Autonomy: AI Integration in Structured Research-Based Learning for Higher Education,"Festiyed, Festiyed and Desnita, Desnita and Natasya, Ziola and Fadillah, Muhammad Aizri and Novitra, Fuja",article,Festiyed2026109,,,,,Scopus,from assistance to autonomy ai integration in structured researchbased learning for higher education,,,,,,,,,,,,,,,,,,,,,,,,,2026
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Front. Educ.,English,,Frontiers Media SA,"A.-K. Krebs; Institute of Physics - Primary Science Education and Didactics, RWTH Aachen University, Aachen, Germany; email: ann-katrin.krebs@rwth-aachen.de",3D-modeling; 3D-printing; future skills; maker education; primary school,"This paper explores the integration of Maker Education into primary schools and its potential to foster essential digital and interdisciplinary skills. Grounded in constructivist and constructionist theories, Maker Education emphasizes hands-on, project-based learning using traditional and digital tools, particularly 3D design and printing, enabling learners to actively design, build, and iterate their own. The paper draws on practical examples from German-speaking countries, including a detailed classroom project in which primary students used TinkerCAD to design and analyze 3D-printed dice. The implementations are characterized by flexible, open-ended learning environments that support inquiry-based and collaborative learning, even with limited resources. The examined cases indicate positive effects on student motivation, engagement, and competence development. Students developed skills in geometry, mass distribution, digital fabrication, and scientific inquiry, particularly when learning activities were connected to real-world problems and collaborative making. Maker Education supports the development of 21st-century competencies such as creativity, critical thinking, communication, and digital literacy. However, its sustainable implementation requires addressing curricular constraints, technical demands, and the need for systematic integration of maker pedagogies into teacher education. Â© Â© 2026 Krebs.","Rheinisch-WestfÃ¤lische Technische Hochschule Aachen, Institute of Physics - Primary Science Education and Didactics, Aachen, Nordrhein-Westfalen, Germany",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028211820&doi=10.3389%2Ffeduc.2025.1732650&partnerID=40&md5=bf90ab4d4a14569abd245c3acef4b076,10.3389/feduc.2025.1732650,,,10,Frontiers in Education,2026,â€œIt looks like my die has a favorite numberâ€â€”maker education for 21st century skills in primary science education,"Krebs, Ann Katrin",article,Krebs2026,,,,,Scopus,âœit looks like my die has a favorite numberââmaker education for 21st century skills in primary science education,,,,,,,,,,,,,,,,,,,,,,,,,2026
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,Final,Article,Front. sociol.,English,,Frontiers Media SA,"N.J. Castulo; Department of Educational Leadership and Professional Services, College of Education, Mindanao State University â€“ Tawi-Tawi College of Technology and Oceanography, Bongao, Philippines; email: nilocastulo@msutawi-tawi.edu.ph",curriculum framework; diversity; GEDI-responsive curriculum framework; gender equity; higher education; inclusivity; Philippines,"Introduction: Gender Equity, Diversity, and Inclusivity (GEDI) have become essential components of higher education reform; however, their integration into Philippine higher education curricula remains inconsistent. Thus, this study explored GEDI faculty membersâ€™ perspectives on integrating GEDI concepts into higher education. It proposes a responsive curriculum framework aligned with national mandates and global sustainable development goals. Methodology: A descriptive qualitative case study was conducted involving 19 faculty members from various higher education institutions in the Philippines. Data were gathered through online Key Informant Interviews (KIIs) and relevant document reviews. Thematic analysis using Atlas.ti 25 guided the coding and interpretation processes, complemented by member checking, reflexivity through the COREQ checklist, and triangulation to strengthen the analytical rigor. Results: The findings revealed that faculty members perceived GEDI integration as largely symbolic, with vague mentions in syllabi but insufficient curricular outcomes. Key gaps included (1) uneven implementation across disciplines (stronger in Social Sciences/Education vs. STEM), (2) non-standardized GEDI strategies, (3) faculty resistance and inadequate training, (4) marginalization of underrepresented identities in content, and (5) weak policy enforcement. A four-layer GEDI-Responsive Curriculum Framework (macro, meso, micro, nano) was proposed to embed intersectionality, contextual relevance, and accountability across all educational levels. This research bridges policy-practice gaps by aligning with the local and international higher education curriculum and emphasizing intersectionality, localized reforms, and measurable competencies (e.g., empathy, critical gender consciousness). The findings of the study are context-specific to selected Philippine regions, and broader applicability requires further validation. Underrepresented contexts (e.g., Indigenous Peoples and disability-specific programs) were minimally covered. Future research should broaden geographic coverage and pilot systematic feedback systems to evaluate the applicability and sustainability of the framework across diverse higher education contexts. Â© Â© 2026 Castulo, De Vera, Buenaventura, Sebial, Aquino, Bua-ay, Hibanada, Raguindin, Bedural, Geronimo, Quismundo, Batulat and Zanoria.","Mindanao State University Tawi-Tawi College of Technology and Oceanography, Department of Educational Leadership and Professional Services, Bongao, Tawi-Tawi, Philippines; Philippine Normal University, Technology and Mathematics, Manila, Philippines; Philippine Normal University, College of Teacher Development, Manila, Philippines; Josefina H. Cerilles State College, School of Teacher Education, San Miguel, Zamboanga del Sur, Philippines; Laguna State Polytechnic University, College of Arts and Sciences, Santa Cruz, Laguna, Philippines; Philippine Normal UniversitySouth Luzon, Manila, Philippines; Philippine Normal University, College of Advanced Studies, Manila, Philippines; Philippine Normal University, Manila, Philippines; Philippine Normal University, Manila, Philippines; Philippine Normal University, Manila, Philippines; Philippine Normal University, Gender Equity, Manila, Philippines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028167712&doi=10.3389%2Ffsoc.2025.1672056&partnerID=40&md5=2aef709b958db0307b3875c48006ba1c,10.3389/fsoc.2025.1672056,,,10,Frontiers in Sociology,2026,"Developing a Gender Equity, Diversity, and Inclusivity (GEDI)-responsive curriculum framework for Philippine higher education: a qualitative case study of faculty perspectives","Castulo, Nilo Jayoma and de Vera, Jayson L. and Buenaventura, Ma Laarni D. and Sebial, Starr Clyde L. and Aquino, John Michael Del Rosario and Bua-Ay, Brenda O. and Hibanada, Rowena Raton and Raguindin, Princess Zarla Jurado and Bedural, Zyralie L. and Geronimo, Raquel R. and Quismundo, Lallen B. and Batulat, Emylin T. and Zanoria, Iona Ofelia B.",article,Castulo2026,,,,,Scopus,developing a gender equity diversity and inclusivity gediresponsive curriculum framework for philippine higher education a qualitative case study of faculty perspectives,,,,,,,,,,,,,,,,,,,,,,,,,2026
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ,Scopus,Final,Review,Rev. Cuba. Educac. Med. Super`.,Spanish,08642141,Editorial Ciencias Medicas,"G.J.S. Lima; Universidad Estatal de Milagro Ecuador. Guayas, Ecuador; email: gsuarezl@unemi.edu.edu.ec",augmented reality; clinical simulation; virtual reality,"Introduction: Although virtual reality and augmented reality have revolutionized clinical simulation, their implementation faces challenges such as limited faculty preparation, high integration costs, and resistance to change within educational institutions. Objective: To identify the current state and perspectives of pedagogical competencies for clinical simulation using virtual and augmented reality. Methods: This study was based on a systematic literature review following the PRISMA method. A systematic search was conducted in scientific databases including PubMed, Scopus, SciELO, ResearchGate, Google Scholar, and Dialnet. To optimize the accuracy of study selection, key terms such as â€œpedagogical competencies,â€ â€œclinical simulation,â€ â€œvirtual reality,â€ â€œaugmented reality,â€ and â€œhealth sciences educationâ€ were combined using Boolean operators. Results: The results show that virtual reality and augmented reality enhance clinical simulation by promoting the development of technical skills, critical thinking, and decision-making. This educational impact depends on the strengthening of teachersâ€™ pedagogical competencies; however, limitations related to infrastructure, technology, and the lack of standardized evaluation criteria persist, highlighting the need for faculty training. Conclusions: Virtual reality and augmented reality consolidate clinical simulation as an innovative strategy in health sciences education; however, their educational impact depends on strengthening teachersâ€™ pedagogical competencies and overcoming challenges related to training, infrastructure, and technology. Â© 2026 Editorial Ciencias Medicas. All rights reserved.","Universidad Estatal de Milagro, Milagro, Guayas, Ecuador; ClÃ­nica MEDMISALUD, Ecuador; Universidad de Ciencias MÃ©dicas de La Habana, Havana, La Habana, Cuba; Universidad de Ciencias MÃ©dicas de La Habana, Havana, La Habana, Cuba; Universidad de Ciencias MÃ©dicas de La Habana, Facultad de Ciencias MÃ©dicas General Calixto GarcÃ­a, Havana, La Habana, Cuba",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028028196&partnerID=40&md5=6480ad8ef8b4ba27b221cc3d4bab78bf,,,,40,Revista Cubana de Educacion Medica Superior,2026,State and Perspectives of Pedagogical Competencies for Clinical Simulation using Virtual and Augmented Reality; Estado y perspectivas de las competencias pedagÃ³gicas para simulaciÃ³n clÃ­nica mediante realidad virtual y aumentada,"Lima, Gabriel JosÃ© Suarez and Arce, Cristhian Javier Hidalgo and Izquierdo-Medina, Ricardo and Izquierdo, Norberto ValcÃ rcel and Oquendo, Lourdes De La Caridad Borges",article,Lima2026,,,,,Scopus,state and perspectives of pedagogical competencies for clinical simulation using virtual and augmented reality estado y perspectivas de las competencias pedagã³gicas para simulaciã³n clãnica mediante realidad virtual y aumentada,,,,,,,,,,,,,,,,,,,,,,,,,2026
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ,Scopus,Final,Article,Chem. Educ. Res. Pract.,English,,Royal Society of Chemistry,"R. Tiemann; Chemistry Education Research, Chemistry Department, Humboldt-UniversitÃ¤t zu Berlin, Berlin, Brook-Taylor-Str. 2, 12489, Germany; email: ruediger.tiemann@hu-berlin.de",,"Critical thinking (CT) is actively reflecting upon one's experience and knowledge while searching for necessary information through inquiry, representing a fundamental competency in science education. Transitioning science teaching from passive rote learning to emphasizing CT skills is essential for promoting inquiry-based learning and scientific argumentation. However, fostering and assessing CT within scientific inquiry and laboratory-based learning environments continues to present significant challenges. This study examined the impact of a modified laboratory manual (LM) integrating cognitive prompts designed to enhance CT skills and dispositions in an undergraduate physical chemistry laboratory course. Using a mixed methods approach with pre- and post-experimental design, we assessed CT outcomes with the California Critical Thinking Disposition Inventory (CCTDI) and the California Critical Thinking Skills Test (CCTST), supplemented by open-ended questionnaires and semi-structured interviews with both teaching staff and students to evaluate perceptions of the intervention. Participants included 31 second-year undergraduate students randomly assigned to either an experimental group (n = 11) that used the CT-focused modified LM or a control group (n = 20) that followed the traditional LM. Results showed no observable differences between groups in the CCTST tool. However, a statistically significant decrease was observed in the control group's CT dispositions, in the overall score of the CCTDI, and four of seven subscales, while the experimental group maintained their CT dispositions. The four affected subscales were specifically aligned with the modificationsâ€™ objectives, while the remaining three were unrelated to the original LM and course objectives. Qualitative findings from interviews corroborated these results, indicating that the targeted modifications effectively sustained and enhanced CT dispositions in undergraduate laboratory settings. The study highlights the importance of incorporating CT through structured learning activities in undergraduate science education to maintain student engagement and CT dispositions, while promoting higher-order thinking skills. This journal is Â© The Royal Society of Chemistry, 2026","Humboldt-UniversitÃ¤t zu Berlin, Department of Chemistry, Berlin, Germany; Technische UniversitÃ¤t MÃ¼nchen, Department of Educational Sciences, Munich, Bayern, Germany",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018594884&doi=10.1039%2Fd4rp00373j&partnerID=40&md5=c61db3bfd21d236d9993999f1b6c934b,10.1039/d4rp00373j,317 - 331,1,27,Chemistry Education Research and Practice,2026,Principles to foster critical thinking skills and dispositions in an undergraduate physical-chemistry laboratory course: the impact of modified laboratory manuals,"Danial, Lilian and Koenen, Jenna and Tiemann, RÃ¼diger",article,Danial2026317,,,,,Scopus,principles to foster critical thinking skills and dispositions in an undergraduate physicalchemistry laboratory course the impact of modified laboratory manuals,,,,,,,,,,,,,,,,,,,,,,,,,2026
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Online learn. edu. res.,English,,FoundAE (Foundation of Advanced Education),"L. Puspita; Universitas Lampung, Indonesia; email: lailapuspita@radenintan.ac.id",Creative thinking skills; Science Education; Systematic literature review,"Creative thinking skills are widely discussed in science education research, yet their conceptualization, pedagogical treatment, and measurement still show methodological diversity. This study systematically synthesizes recent studies on creative thinking skills in science education, focusing on learning strategies, learning media, and assessment instruments. A systematic literature review (SLR) using the PRISMA framework was conducted on 23 Scopus-indexed publications from 2019â€“2022. The results indicate that most studies position creative thinking skills as a learning outcome embedded in instructional innovation rather than as an independent construct. STEM-oriented learning, technology-assisted learning, problem-based learning, and inquiry-based learning are the most frequently explored contexts. However, the literature is dominated by qualitative and descriptive research, with limited comparative or experimental evidence. Variation in definitions and measurements also persists, often overlapping with related constructs such as critical thinking. Overall, this review reveals rich pedagogical innovation but limited methodological consistency and analytical rigor. The findings highlight the need for clearer construct boundaries, more robust research designs, and better alignment between learning strategies and validated instruments. This review contributes to mapping research patterns and identifying gaps for future empirical studies in creative thinking skills in science education. Â© 2025, FoundAE (Foundation of Advanced Education). All rights reserved.","Universitas Lampung, Bandar Lampung, Lampung, Indonesia; Universitas Islam Negeri Raden Fatah Palembang, Palembang, Sumatera Selatan, Indonesia; Szegedi TudomÃ¡nyegyetem (SZTE), Szeged, Hungary; STIT NU Ogan Komering Ulu Timur, Indonesia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029107332&doi=10.58524%2Foler.v5i2.822&partnerID=40&md5=7220272cacaba612cfb81940b104d9df,10.58524/oler.v5i2.822,479 - 495,2,5,Online Learning In Educational Research,2025,Creative Thinking Skills in Science Education: A PRISMA-based Systematic Literature Review,"Puspita, Laila and Abdurrahman, Abdurrahman and Jalmo, Tri and Maulina, Dina and null, null and Suherman, null and Luthfi, Nurrana Fitria",article,Puspita2025479,,,,,Scopus,creative thinking skills in science education a prismabased systematic literature review,,,,,,,,,,,,,,,,,,,,,,,,,2025
Cited by: 3; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,Final,Article,J. Sci. Educ. Technol.,English,10590145,Springer Science and Business Media B.V.,"G. Cooper; Curtin University, Bentley, Perth, Kent St., 6102, Australia; email: grant.cooper@curtin.edu.au",Inquiry-based Learning; Pre-service Teachers; Science Education; AI LiteracyPedagogical Integration; Generative Artificial Intelligence; Teacher Education,"The rapid advancement of generative artificial intelligence (GenAI) is reshaping various sectors, including education. This editorial explores the intersections of AI, science education, and the preparation of pre-service teachers (PSTs), questioning whether GenAI represents a truly transformative technology or merely the latest iteration of an educational hype cycle. While previous technological innovationsâ€”such as radio, television, and computersâ€”were initially heralded as revolutionary, their impact on education has varied significantly. The emergence of GenAI, particularly large language models, introduces new possibilities for personalised learning, digital tutoring, and adaptive content generation, yet its integration into educational practice remains uneven. Despite growing societal reliance on GenAI, a substantial proportion of in-service teachers report limited use, citing a lack of training and institutional policies as key barriers. In contrast, research suggests that PSTs are already engaging with GenAI tools for lesson planning, content summarisation, and assessment preparation. This editorial underscores the need for initial teacher education (ITE) programmes to provide structured support, ensuring that PSTs develop both technical proficiency and critical AI literacy. Ethical concernsâ€”such as data privacy, algorithmic bias, and epistemic authorityâ€”must also be central to teacher training. Focusing on science education, this special issue examines the opportunities and challenges of GenAI integration. The contributions explore PSTsâ€™ perceptions, competencies, and preparedness to implement AI-driven tools in their teaching, addressing themes such as inquiry-based learning, pedagogical content knowledge, and the evolving role of educators in AI-powered classrooms. The discussion highlights the necessity of balancing technological innovation with critical reflection, equipping future teachers to navigate the complexities of AI in education responsibly. This editorial aims to advance the dialogue on GenAIâ€™s role in teacher preparation, urging educational institutions to proactively support PSTs in harnessing its potential while fostering a critical, ethical, and pedagogically sound approach to AI integration in science education. Â© The Author(s) 2025.","Curtin University, Perth, WA, Australia; HCT-Dubai Campuses, Dubai, United Arab Emirates",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217576825&doi=10.1007%2Fs10956-025-10200-9&partnerID=40&md5=19f62c21b7bb3834fa1d4067018cfc10,10.1007/s10956-025-10200-9,1255 - 1259,6,34,Journal of Science Education and Technology,2025,"Intersections of Mind and Machine: Navigating the Nexus of Artificial Intelligence, Science Education, and the Preparation of Pre-service Teachers","Cooper, Grant and Tang, K. S. and Fitzgerald, Angela",article,Cooper20251255,,,,,Scopus,intersections of mind and machine navigating the nexus of artificial intelligence science education and the preparation of preservice teachers,,,,,,,,,,,,,,,,,,,,,,,,,2025
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Discip Interdscip Sci Educ Res,English,,Springer,"N.J. Castulo; Department of Educational Leadership and Professional Services, College of Education, Mindanao State University - Tawi-Tawi College of Technology and Oceanography, Bongao, Philippines; email: nilocastulo@msutawi-tawi.edu.ph",AI integration; Future competency; Philippines; Pre-service teacher; Stem education,"This study investigates the future STEM competencies of pre-service science teachers in the Philippines, addressing the gaps in preparing teachers to address the challenges in preparing STEM teachers to meet 21st-century demands. Using a quantitative approach, this study surveyed 444 pre-service science teachers from five state universities in Luzon, Visayas, and Mindanao using convenience sampling. A structured questionnaire, grounded in the Philippine Skills Framework and validated by experts, measured competencies, such as AI integration in science education, critical thinking, and lifelong learning. Data were analyzed using partial least squares structural equation modelling (PLS-SEM). The findings revealed that future competencies, such as creativity and innovation, resilience and adaptability, ethical awareness, and reasoning, are essential for fostering critical thinking, collaboration, and leadership. However, AI Integration in STEM Education is not significant for critical thinking and problem solving. This study recommends training pre-service teachers in future-oriented competencies, technology-enabled pedagogy, and resilience. The scope of this study was limited to self-reported data and a national context. Cross-cultural and longitudinal studies are recommended for broader application. Â© The Author(s) 2025.","Philippine Normal University, Technology and Mathematics, Manila, Philippines; Mindanao State University Tawi-Tawi College of Technology and Oceanography, Department of Educational Leadership and Professional Services, Bongao, Tawi-Tawi, Philippines; Josefina H. Cerilles State College, School of Teacher Education, San Miguel, Zamboanga del Sur, Philippines; Laguna State Polytechnic University, College of Teacher Education, Santa Cruz, Laguna, Philippines",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020885285&doi=10.1186%2Fs43031-025-00143-x&partnerID=40&md5=f0e4ba86604d95ddd3d1f27a3016df79,10.1186/s43031-025-00143-x,,1,7,Disciplinary and Interdisciplinary Science Education Research,2025,Integrating AI in STEM education: exploring future STEM competencies of pre-service science teachers in the Philippines,"Vera, Jayson Lde and Castulo, Nilo Jayoma and Sebial, Starr Clyde L. and Aliazas, John Vincent C. and Pelgone, Alfons Jayson O. and Gonong, Donna Marie D.M. and Pastor, Crist John M. and Ramos-Butron, Benilda",article,Vera2025,,,,,Scopus,integrating ai in stem education exploring future stem competencies of preservice science teachers in the philippines,,,,,,,,,,,,,,,,,,,,,,,,,2025
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Comput. Educ. Open,English,,Elsevier Ltd,"J. Huwer; Chair of Science Education, University of Konstanz, Konstanz, UniversitÃ¤tsstraÃŸe 10, 78464, Germany; email: johannes.huwer@uni-konstanz.de",AI literacy; Artificial intelligence; Digital competencies; Preservice teachers; STEM education; TPACK,"The rapid advancement and widespread adoption of digital technologies have transformed the education sector. Among these developments, the emergence of generative artificial intelligence (AI) tools such as ChatGPT has had a considerable impact on teaching and learning practices. While the integration of AI into educational settings is becoming increasingly common, subject-specific analyses, especially in STEM education, are still lacking. This paper examines the specific challenges and potential of AI in the context of STEM education. It does so by exploring how AI has transformed scientific disciplines and how these changes impact teaching and learning. It highlights the necessity for educators to acquire specific competencies to effectively incorporate AI into their instructional practices. Building on existing frameworks such as DigCompEdu and the subject-specific DiKoLAN, the paper proposes an AI-focused framework: DiKoLAN AI. This framework aligns AI-related teacher competencies with instructional practice in science education. It also provides a structure for categorizing existing teacher training programs. The paper outlines the development of the DiKoLAN AI framework and its content consensus validation by a total of 64 experts through three iterative cycles. Its practical application is demonstrated through 20 case studies from different authors, which offer a practical approach for supporting teacher training and curriculum design in AI-integrated STEM education. The paper concludes with a discussion of opportunities, challenges and future research needs for teacher professionalization. Â© 2025 The Authors","UniversitÃ¤t Konstanz, Chair of Science Education, Konstanz, Baden-Wurttemberg, Germany; Thurgau University of Teacher Education, Chair of Science Education, Kreuzlingen, Switzerland; PÃ¤dagogische Hochschule Freiburg, Institute of Biology and its Didactics, Freiburg im Breisgau, Baden-Wurttemberg, Germany; UniversitÃ¤t zu KÃ¶ln, Koln, Nordrhein-Westfalen, Germany; UniversitÃ¤t Salzburg, Department of Education, Salzburg, Salzburg, Austria; UniversitÃ¤t Leipzig, Centre for Teacher Training and School Research, Leipzig, Sachsen, Germany; Technische UniversitÃ¤t Darmstadt, Department of Physics, Darmstadt, Hessen, Germany; Gottfried Wilhelm Leibniz UniversitÃ¤t Hannover, Institute of Education, Hannover, Niedersachsen, Germany; Technische UniversitÃ¤t Dresden, Chair of Biology Education, Dresden, Sachsen, Germany",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020067837&doi=10.1016%2Fj.caeo.2025.100303&partnerID=40&md5=dc2ca9117f3a90d61176c47a2055199c,10.1016/j.caeo.2025.100303,,,9,Computers and Education Open,2025,Competencies for teaching with and about artificial intelligence in the natural sciences â€” DiKoLAN AI,"Huwer, Johannes and Thyssen, Christoph and Becker, Sebastian and von Kotzebue, Lena and Finger, Alexander and Kremser, Erik and Berber, Sandra and BrÃ¼ckner, Mathea and Maurer, Nikolai and Bruckermann, Till and Meier, Monique and Thoms, Lars Jochen",article,Huwer2025,,,,,Scopus,competencies for teaching with and about artificial intelligence in the natural sciences â dikolan ai,,,,,,,,,,,,,,,,,,,,,,,,,2025
Cited by: 0; Conference name: null; Conference sponsors: ; Conference code: null; Conference date: ; All Open Access; Gold Open Access,Scopus,Final,Article,Discov. Educ.,English,,Discover,"Z. Gu; Graduate Institute of Interpretation and Translation, Shanghai International Studies University, Shanghai, China; email: guzhiyuan@shisu.edu.cn",Competency-oriented; Interdisciplinary education; Science education; Science literacy,"Chinaâ€™s 2022 curriculum standards issued by the Ministry of Education prioritize a â€œcompetency-orientedâ€ education that highlights the role of science education in improving studentsâ€™ scientific literacy and competency. However, the implementation of science education in secondary schools remains fraught with challenges. This study is among the first empirical investigations in China to examine the current state of English-taught science education in Shanghaiâ€™s secondary level. It aims to identify critical needs and propose strategies to enhance studentsâ€™ science literacy. A mixed-methods design was adopted, combining questionnaires and interviews. The survey covered 25 junior high schools and 22 senior high schools across 16 districts in Shanghai, yielding 3459 valid responses. Data were analyzed using SPSS through descriptive statistics, correlation analysis, and chi-square tests. The findings indicate that resource scarcity, traditional pedagogical approaches, and teachersâ€™ limited interdisciplinary capabilities hinder effective science instruction. This study proposes an interdisciplinary, project-based English science education framework tailored to the Chinese context, offering both theoretical insight and practical guidance for educational reform. Â© The Author(s) 2025.","Shanghai International Studies University, Graduate Institute of Interpretation and Translation, Shanghai, Shanghai, China",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018885316&doi=10.1007%2Fs44217-025-00870-3&partnerID=40&md5=0b0d23f385d56de5c8fe5fc992cbedd2,10.1007/s44217-025-00870-3,,1,4,Discover Education,2025,Current status of science learning in Shanghai and a possible PBL mechanism,"Sun, Haiqin and Gu, Zhiyuan",article,Sun2025,,,,,Scopus,current status of science learning in shanghai and a possible pbl mechanism,,,,,,,,,,,,,,,,,,,,,,,,,2025
