"SO","Rank","Freq","cumFreq","Zone"
"INTERNATIONAL JOURNAL OF SCIENCE EDUCATION",1,19,19,"Core (Zone 1)"
"EDUCATION SCIENCES",2,15,34,"Core (Zone 1)"
"FRONTIERS IN EDUCATION",3,13,47,"Core (Zone 1)"
"JOURNAL OF RESEARCH IN SCIENCE TEACHING",4,10,57,"Core (Zone 1)"
"RESEARCH IN SCIENCE EDUCATION",5,9,66,"Core (Zone 1)"
"JOURNAL OF SCIENCE EDUCATION AND TECHNOLOGY",6,8,74,"Core (Zone 1)"
"RESEARCH IN SCIENCE \& TECHNOLOGICAL EDUCATION",7,7,81,"Core (Zone 1)"
"SCIENCE EDUCATION INTERNATIONAL",8,6,87,"Core (Zone 1)"
"ENVIRONMENTAL EDUCATION RESEARCH",9,5,92,"Core (Zone 1)"
"EURASIA JOURNAL OF MATHEMATICS, SCIENCE AND TECHNOLOGY EDUCATION",10,5,97,"Core (Zone 1)"
"INTERACTIVE LEARNING ENVIRONMENTS",11,5,102,"Core (Zone 1)"
"JOURNAL OF CHEMICAL EDUCATION",12,5,107,"Core (Zone 1)"
"JOURNAL OF COMPUTER ASSISTED LEARNING",13,5,112,"Middle (Zone 2)"
"JURNAL PENDIDIKAN IPA INDONESIA",14,5,117,"Middle (Zone 2)"
"CHEMISTRY EDUCATION RESEARCH AND PRACTICE",15,4,121,"Middle (Zone 2)"
"DISCIPLINARY AND INTERDISCIPLINARY SCIENCE EDUCATION RESEARCH",16,4,125,"Middle (Zone 2)"
"EDUCATION AND INFORMATION TECHNOLOGIES",17,4,129,"Middle (Zone 2)"
"JOURNAL OF BALTIC SCIENCE EDUCATION",18,4,133,"Middle (Zone 2)"
"NEW PERSPECTIVES IN SCIENCE EDUCATION - INTERNATIONAL CONFERENCE",19,4,137,"Middle (Zone 2)"
"RESEARCH IN SCIENCE AND TECHNOLOGICAL EDUCATION",20,4,141,"Middle (Zone 2)"
"ADVANCES IN PHYSIOLOGY EDUCATION",21,3,144,"Middle (Zone 2)"
